x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24
477.73,207.771,472.068,380.228,294.113,374.467,241.895,627.668,345.626,552.695,638.904,385.561,713.609,610.275,581.416,661.812,,,,,,,,,,,,,,,432.048,167.361,512.323,161.822,385.596,195.975,558.336,178.921,,,,,,,,,,,,
564.053,167.315,541.333,345.949,368.567,351.468,305.298,656.297,431.805,472.061,719.462,345.892,846.036,650.353,754.125,483.652,,,,,,,,,,,,,,,523.833,132.807,592.915,132.867,472.2,167.436,633.336,161.866,,,,,,,,,,,,
512.438,178.801,495.259,368.712,334.027,368.709,253.367,615.926,426.159,668.07,667.533,379.9,753.738,581.654,662.002,662.087,483.78,719.667,385.861,719.668,,,,,,,,,,,477.746,150.065,535.657,150.001,426.041,167.48,581.566,167.294,,,,,,,,,,,,
500.879,190.314,495.259,362.949,311.129,357.038,247.889,650.517,293.905,575.901,673.397,374.431,748.059,621.779,667.611,627.367,,,,,,,,,,,,,,,472.087,155.475,535.344,155.595,414.728,167.191,576.023,167.453,,,,,,,,,,,,
524.054,190.218,523.854,362.832,351.357,345.899,213.504,535.411,489.615,483.858,685.062,379.988,765.628,581.674,662.111,656.29,,,,,,,,,,,,,,,483.878,155.693,564.172,155.718,437.693,190.195,610.172,184.596,,,,,,,,,,,,
541.321,167.482,518.03,379.902,339.966,357.054,305.541,633.199,546.903,477.737,679.365,380.23,765.612,604.559,719.533,656.057,,,,,,,,,,,,,,,512.509,144.224,575.789,149.98,437.876,173.045,616.057,184.554,,,,,,,,,,,,
569.66,201.782,558.299,368.679,379.942,374.291,293.76,638.956,351.485,667.475,725.363,357.262,840.077,621.86,754.156,673.689,541.106,719.655,,,,,,,,,,,,,524.04,156.009,604.388,155.912,472.078,184.665,644.794,173.185,,,,,,,,,,,,
449.293,207.501,443.525,385.69,282.283,385.824,207.35,627.696,437.646,719.563,621.677,380.174,708.136,598.701,610.145,661.804,,,,,,,,,,,,,,,420.367,167.25,483.917,161.74,351.592,196.123,529.938,195.834,,,,,,,,,,,,
564.174,207.72,541.321,351.61,368.58,351.413,219.061,627.615,391.622,581.409,719.478,351.568,811.437,621.919,713.778,673.485,535.488,719.632,,,,,,,,,,,,,523.892,161.879,598.783,161.775,471.997,178.724,656.078,173.203,,,,,,,,,,,,
489.663,190.358,518.024,357.208,340.012,345.632,173.203,552.668,403.284,472.047,668.009,380.08,753.854,587.308,633.315,656.106,,,,,,,,,,,,,,,472.136,155.483,535.377,155.8,431.745,167.325,587.322,190.199,,,,,,,,,,,,
569.746,201.678,546.903,357.048,357.045,351.417,293.525,656.123,431.663,443.341,719.503,351.62,817.325,621.838,719.611,673.568,,,,,,,,,,,,,,,524.207,155.894,604.52,155.942,472.205,178.846,656.066,173.189,,,,,,,,,,,,
546.896,161.647,541.153,368.548,357.174,357.214,288.08,650.357,414.736,518.202,714.013,374.308,805.736,604.437,748.291,633.345,,,,,,,,,,,,,,,518.111,126.966,581.408,126.973,460.666,161.557,627.451,161.792,,,,,,,,,,,,
529.476,201.563,518.029,368.715,339.838,351.572,184.449,569.828,368.545,530.015,679.349,380.143,754.155,592.856,650.431,656.326,,,,,,,,,,,,,,,489.387,156.031,569.612,156.018,437.541,184.492,604.527,184.627,,,,,,,,,,,,
564.232,196.17,523.845,380.102,345.632,362.892,345.61,621.92,627.446,604.346,696.526,385.712,771.33,621.854,638.949,667.725,523.845,719.668,431.811,719.671,,,,,621.615,719.651,,,,,523.944,155.927,593.013,161.377,454.861,184.565,621.787,196.015,,,,,,,,,,,,
564.08,167.403,541.202,368.52,357.156,357.164,299.72,638.968,431.625,529.956,714.013,374.392,805.631,604.437,748.297,638.925,,,,,,,,,,,,,,,523.936,132.874,592.912,144.145,472.075,161.639,627.594,167.232,,,,,,,,,,,,
558.45,167.411,535.418,368.68,351.473,368.638,299.367,661.957,420.369,495.139,713.658,368.542,800.104,598.731,753.853,639.03,,,,,,,,,,,,,,,523.742,132.859,587.217,138.631,466.411,161.889,627.434,167.341,,,,,,,,,,,,
472.148,201.95,477.971,385.629,299.517,385.672,230.623,558.426,207.373,621.818,661.67,379.936,759.651,610.127,690.819,656.164,,,,,,,,,,,,,,,431.888,161.696,500.92,161.43,385.737,201.563,558.315,190.301,,,,,,,,,,,,
563.98,173.083,541.219,362.931,351.592,357.152,305.294,644.777,431.801,500.9,713.995,374.361,805.595,604.369,748.306,638.938,,,,,,,,,,,,,,,523.881,138.618,587.294,144.279,471.981,161.615,627.701,161.745,,,,,,,,,,,,
